time,coverage,bug
1.0,1,0,1
2.0,7,0,9
3.0,14,0,17
4.0,17,0,25
5.0,21,0,33
6.0,24,0,41
7.0,24,0,49
8.0,25,0,57
9.0,26,0,65
10.0,26,0,74
11.0,27,0,82
12.0,28,0,90
13.0,29,0,97
14.0,29,0,105
15.0,29,0,113
16.0,29,0,120
17.0,29,0,128
18.0,29,0,136
19.0,29,0,143
20.0,29,0,151
21.0,30,0,160
22.0,31,0,168
23.0,31,0,176
24.0,31,0,185
25.0,31,0,193
26.0,31,0,201
27.0,31,0,209
28.0,31,0,216
29.0,31,0,224
30.0,33,0,232
31.0,33,0,239
32.0,33,0,247
33.0,33,0,255
34.0,33,0,263
35.0,33,0,271
36.0,33,0,279
37.0,33,0,287
38.0,33,0,295
39.0,33,0,303
40.0,33,0,311
41.0,33,0,319
42.0,33,0,326
43.0,33,0,334
44.0,33,0,341
45.0,33,0,349
46.0,33,0,356
47.0,33,0,365
48.0,33,0,373
49.0,33,0,381
50.0,34,0,389
51.0,34,0,397
52.0,34,0,405
53.0,34,0,413
54.0,34,0,421
55.0,35,0,429
56.0,35,0,436
57.0,35,0,444
58.0,35,0,452
59.0,36,0,460
60.0,36,0,468
61.0,36,0,476
62.0,36,0,483
63.0,37,0,490
64.0,37,0,496
65.0,37,0,502
66.0,37,0,509
67.0,37,0,515
68.0,37,0,521
69.0,37,0,527
70.0,37,0,531
71.0,37,0,537
72.0,38,0,543
73.0,38,0,549
74.0,38,0,556
75.0,38,0,561
76.0,38,0,568
77.0,38,0,576
78.0,38,0,583
79.0,38,0,591
80.0,38,0,599
81.0,38,0,607
82.0,38,0,615
83.0,38,0,622
84.0,38,0,630
85.0,38,0,638
86.0,38,0,646
87.0,39,0,654
88.0,39,0,662
89.0,39,0,670
90.0,39,0,677
91.0,39,0,685
92.0,40,0,693
93.0,40,0,701
94.0,41,0,709
95.0,41,0,716
96.0,41,0,724
97.0,41,0,732
98.0,41,0,740
99.0,41,0,747
100.0,41,0,755
101.0,41,0,761
102.0,41,0,769
103.0,41,0,776
104.0,41,0,784
105.0,41,0,792
106.0,41,0,800
107.0,41,0,808
108.0,41,0,816
109.0,41,0,824
110.0,41,0,832
111.0,42,0,840
112.0,42,0,848
113.0,42,0,856
114.0,42,0,864
115.0,42,0,872
116.0,42,0,880
117.0,42,0,888
118.0,43,0,896
119.0,43,0,904
120.0,43,0,912
121.0,43,0,920
122.0,43,0,928
123.0,43,0,936
124.0,43,0,943
125.0,43,0,950
126.0,43,0,957
127.0,43,0,965
128.0,43,0,973
129.0,43,0,981
130.0,43,0,989
131.0,44,0,997
132.0,44,0,1004
133.0,44,0,1012
134.0,44,0,1019
135.0,44,0,1027
136.0,44,0,1034
137.0,44,0,1041
138.0,44,0,1050
139.0,44,0,1058
140.0,44,0,1066
141.0,44,0,1074
142.0,44,0,1082
143.0,44,0,1090
144.0,44,0,1098
145.0,44,0,1105
146.0,44,0,1113
147.0,44,0,1121
148.0,44,0,1129
149.0,44,0,1136
150.0,44,0,1144
151.0,44,0,1151
152.0,45,0,1159
153.0,45,0,1166
154.0,45,0,1174
155.0,45,0,1182
156.0,45,0,1190
157.0,45,0,1198
158.0,45,0,1206
159.0,45,0,1214
160.0,45,0,1222
161.0,45,0,1230
162.0,45,0,1237
163.0,45,0,1244
164.0,45,0,1252
165.0,45,0,1259
166.0,45,0,1267
167.0,45,0,1275
168.0,45,0,1283
169.0,45,0,1291
170.0,45,0,1299
171.0,45,0,1307
172.0,45,0,1315
173.0,45,0,1323
174.0,45,0,1331
175.0,45,0,1339
176.0,45,0,1347
177.0,45,0,1355
178.0,45,0,1362
179.0,46,0,1370
180.0,46,0,1378
181.0,46,0,1386
182.0,46,0,1394
183.0,46,0,1401
184.0,46,0,1409
185.0,46,0,1416
186.0,46,0,1424
187.0,46,0,1431
188.0,46,0,1439
189.0,46,0,1447
190.0,46,0,1454
191.0,46,0,1462
192.0,46,0,1470
193.0,46,0,1477
194.0,46,0,1485
195.0,46,0,1492
196.0,46,0,1500
197.0,47,0,1507
198.0,47,0,1515
199.0,48,0,1523
200.0,48,0,1531
201.0,48,0,1539
202.0,48,0,1547
203.0,48,0,1555
204.0,48,0,1563
205.0,49,0,1571
206.0,50,0,1578
207.0,50,0,1586
208.0,50,0,1593
209.0,50,0,1601
210.0,50,0,1609
211.0,50,0,1617
212.0,50,0,1624
213.0,50,0,1632
214.0,50,0,1640
215.0,50,0,1648
216.0,50,0,1655
217.0,50,0,1663
218.0,50,0,1670
219.0,50,0,1678
220.0,50,0,1685
221.0,50,0,1693
222.0,50,0,1701
223.0,50,0,1708
224.0,50,0,1715
225.0,50,0,1723
226.0,50,0,1730
227.0,50,0,1737
228.0,50,0,1745
229.0,51,0,1753
230.0,51,0,1760
231.0,51,0,1768
232.0,51,0,1776
233.0,51,0,1784
234.0,51,0,1792
235.0,51,0,1799
236.0,51,0,1807
237.0,51,0,1815
