time,coverage,bug
1.0,1,0,1
2.0,4,0,10
3.0,11,0,20
4.0,15,0,30
5.0,16,0,40
6.0,20,0,50
7.0,24,0,59
8.0,29,0,69
9.0,33,0,79
10.0,38,0,89
11.0,40,0,99
12.0,45,0,109
13.0,51,0,119
14.0,52,0,129
15.0,56,0,139
16.0,58,0,148
17.0,61,0,158
18.0,65,0,168
19.0,70,0,178
20.0,72,0,188
21.0,74,0,198
22.0,78,0,208
23.0,80,0,218
24.0,84,0,227
25.0,87,0,237
26.0,88,0,247
27.0,90,0,257
28.0,90,0,267
29.0,94,0,277
30.0,96,0,286
31.0,96,0,296
32.0,99,0,306
33.0,100,0,316
34.0,100,0,326
35.0,102,0,336
36.0,104,0,346
37.0,107,0,356
38.0,109,0,365
39.0,110,0,375
40.0,114,0,385
41.0,115,0,395
42.0,117,0,404
43.0,122,0,414
44.0,126,0,424
45.0,128,0,434
46.0,133,0,444
47.0,135,0,453
48.0,137,0,463
49.0,138,0,473
50.0,138,0,482
51.0,138,0,492
52.0,138,0,502
53.0,138,0,512
54.0,141,0,522
55.0,142,0,532
56.0,145,0,542
57.0,147,0,551
58.0,152,0,561
59.0,155,0,571
60.0,158,0,581
61.0,160,0,590
62.0,165,0,600
63.0,170,0,610
64.0,174,0,620
65.0,178,0,630
66.0,182,0,640
67.0,184,0,650
68.0,185,0,660
69.0,187,0,670
70.0,190,0,680
71.0,191,0,690
72.0,194,0,699
73.0,195,0,709
74.0,199,0,719
75.0,201,0,729
76.0,202,0,738
77.0,205,0,748
78.0,210,0,758
79.0,214,0,768
80.0,217,0,778
81.0,218,0,788
82.0,221,0,798
83.0,223,0,808
84.0,225,0,818
85.0,225,0,828
86.0,228,0,838
87.0,230,0,848
88.0,235,0,858
89.0,236,0,867
90.0,238,0,877
91.0,239,0,887
92.0,242,0,897
93.0,247,0,907
94.0,248,0,917
95.0,253,0,927
96.0,254,0,936
97.0,255,0,946
98.0,257,0,956
99.0,259,0,966
100.0,263,0,976
