time,coverage,bug,tests,unique bugs
12.0,1,0,1,0
24.0,64,0,127,0
36.0,83,0,274,0
48.0,96,0,419,0
60.0,108,0,565,0
72.0,115,0,711,0
84.0,119,0,858,0
96.0,122,0,1004,0
108.0,123,0,1151,0
120.0,147,0,1289,0
132.0,181,0,1432,0
144.0,208,0,1575,0
156.0,236,0,1720,0
168.0,259,0,1865,0
180.0,287,0,2011,0
192.0,311,0,2156,0
204.0,338,0,2302,0
216.0,375,0,2447,0
228.0,397,0,2593,0
240.0,414,0,2739,0
252.0,441,0,2884,0
264.0,466,0,3030,0
276.0,484,0,3166,0
288.0,510,0,3311,0
300.0,540,0,3457,0
312.0,565,0,3603,0
324.0,585,0,3749,0
336.0,603,0,3895,0
348.0,624,0,4041,0
360.0,645,0,4182,0
372.0,673,0,4328,0
384.0,689,0,4472,0
396.0,709,0,4613,0
408.0,723,0,4752,0
420.0,739,0,4896,0
432.0,752,0,5042,0
444.0,772,0,5187,0
456.0,788,0,5333,0
468.0,811,0,5478,0
480.0,829,0,5624,0
492.0,843,0,5770,0
504.0,855,0,5915,0
516.0,864,0,6061,0
528.0,878,0,6207,0
540.0,901,0,6352,0
552.0,922,0,6498,0
564.0,942,0,6644,0
576.0,967,0,6789,0
588.0,986,0,6934,0
600.0,997,0,7078,0
612.0,1008,0,7223,0
624.0,1024,0,7356,0
636.0,1033,0,7502,0
648.0,1043,0,7648,0
660.0,1052,0,7790,0
672.0,1059,0,7910,0
684.0,1073,0,8055,0
696.0,1085,0,8198,0
708.0,1095,0,8344,0
720.0,1111,0,8489,0
732.0,1116,0,8634,0
744.0,1132,0,8780,0
756.0,1139,0,8924,0
768.0,1151,0,9066,0
780.0,1160,0,9210,0
792.0,1169,0,9355,0
804.0,1176,0,9499,0
816.0,1184,0,9644,0
828.0,1191,0,9789,0
840.0,1206,0,9934,0
852.0,1217,0,10077,0
864.0,1230,0,10223,0
876.0,1243,0,10369,0
888.0,1251,0,10513,0
900.0,1260,0,10656,0
912.0,1265,0,10800,0
924.0,1276,0,10945,0
936.0,1300,0,11090,0
948.0,1315,0,11230,0
960.0,1319,0,11374,0
972.0,1332,0,11518,0
984.0,1340,0,11662,0
996.0,1361,0,11806,0
1008.0,1371,0,11949,0
1020.0,1374,0,12094,0
1032.0,1388,0,12238,0
1044.0,1401,0,12379,0
1056.0,1415,0,12524,0
1068.0,1417,0,12667,0
1080.0,1421,0,12812,0
1092.0,1427,0,12956,0
1104.0,1440,0,13100,0
1116.0,1448,0,13242,0
1128.0,1465,0,13387,0
1140.0,1473,0,13532,0
1152.0,1481,0,13674,0
1164.0,1491,0,13820,0
1176.0,1499,0,13964,0
1188.0,1508,0,14109,0
1200.0,1532,0,14254,0
1212.0,1539,0,14399,0
1224.0,1548,0,14543,0
1236.0,1552,0,14688,0
1248.0,1554,0,14825,0
1260.0,1565,0,14970,0
1272.0,1577,0,15114,0
1284.0,1590,0,15259,0
1296.0,1599,0,15403,0
1308.0,1604,0,15548,0
1320.0,1606,0,15692,0
1332.0,1616,0,15835,0
1344.0,1621,0,15971,0
1356.0,1624,0,16085,0
1368.0,1630,0,16209,0
1380.0,1635,0,16342,0
1392.0,1643,0,16485,0
1404.0,1652,0,16628,0
1416.0,1655,0,16772,0
1428.0,1665,0,16915,0
1440.0,1669,0,17058,0
1452.0,1674,0,17200,0
1464.0,1678,0,17342,0
1476.0,1692,0,17485,0
1488.0,1705,0,17627,0
1500.0,1711,0,17770,0
1512.0,1717,0,17913,0
1524.0,1729,0,18055,0
1536.0,1744,0,18198,0
1548.0,1750,0,18340,0
1560.0,1767,0,18482,0
1572.0,1782,0,18624,0
1584.0,1793,0,18767,0
1596.0,1800,0,18909,0
1608.0,1804,0,19050,0
1620.0,1809,0,19190,0
1632.0,1817,0,19333,0
1644.0,1829,0,19478,0
1656.0,1850,0,19623,0
1668.0,1861,0,19767,0
1680.0,1867,0,19913,0
1692.0,1873,0,20058,0
1704.0,1891,0,20203,0
1716.0,1896,0,20348,0
1728.0,1903,0,20493,0
1740.0,1912,0,20638,0
1752.0,1919,0,20783,0
1764.0,1928,0,20928,0
1776.0,1936,0,21073,0
1788.0,1940,0,21217,0
1800.0,1951,0,21362,0
1812.0,1966,0,21507,0
1824.0,1969,0,21651,0
1836.0,1975,0,21796,0
1848.0,1984,0,21940,0
1860.0,1991,0,22085,0
1872.0,2003,0,22229,0
1884.0,2016,0,22374,0
1896.0,2018,0,22518,0
1908.0,2025,0,22663,0
1920.0,2032,0,22808,0
1932.0,2036,0,22952,0
1944.0,2049,0,23096,0
1956.0,2054,0,23240,0
1968.0,2066,0,23383,0
1980.0,2070,0,23528,0
1992.0,2075,0,23673,0
2004.0,2085,0,23818,0
2016.0,2098,0,23963,0
2028.0,2102,0,24108,0
2040.0,2121,0,24253,0
2052.0,2133,0,24398,0
2064.0,2138,0,24542,0
2076.0,2149,0,24687,0
2088.0,2156,0,24831,0
2100.0,2169,0,24975,0
2112.0,2194,0,25120,0
2124.0,2204,0,25265,0
2136.0,2210,0,25410,0
2148.0,2219,0,25553,0
2160.0,2233,0,25697,0
2172.0,2243,0,25842,0
2184.0,2250,0,25986,0
2196.0,2260,0,26131,0
2208.0,2265,0,26275,0
2220.0,2273,0,26419,0
2232.0,2279,0,26564,0
2244.0,2290,0,26709,0
2256.0,2300,0,26853,0
2268.0,2309,0,26998,0
2280.0,2314,0,27143,0
2292.0,2319,0,27287,0
2304.0,2323,0,27431,0
2316.0,2344,0,27575,0
2328.0,2353,0,27720,0
2340.0,2362,0,27865,0
2352.0,2366,0,28010,0
2364.0,2372,0,28155,0
2376.0,2377,0,28300,0
2388.0,2385,0,28444,0
2400.0,2398,0,28589,0
2412.0,2411,0,28733,0
2424.0,2419,0,28877,0
2436.0,2422,0,29022,0
2448.0,2426,0,29159,0
2460.0,2435,0,29278,0
2472.0,2441,0,29377,0
2484.0,2454,0,29484,0
2496.0,2462,0,29624,0
2508.0,2466,0,29768,0
2520.0,2468,0,29912,0
2532.0,2470,0,30055,0
2544.0,2481,0,30198,0
2556.0,2487,0,30341,0
2568.0,2497,0,30486,0
2580.0,2499,0,30629,0
2592.0,2512,0,30773,0
2604.0,2527,0,30916,0
2616.0,2528,0,31059,0
2628.0,2546,0,31203,0
2640.0,2552,0,31347,0
2652.0,2555,0,31491,0
2664.0,2556,0,31636,0
2676.0,2567,0,31781,0
2688.0,2575,0,31926,0
2700.0,2581,0,32070,0
2712.0,2595,0,32214,0
2724.0,2600,0,32357,0
2736.0,2604,0,32501,0
2748.0,2605,0,32623,0
2760.0,2610,0,32734,0
2772.0,2613,0,32843,0
2784.0,2613,0,32951,0
2796.0,2632,0,33059,0
2808.0,2643,0,33195,0
2820.0,2650,0,33338,0
2832.0,2657,0,33482,0
2844.0,2669,0,33626,0
2856.0,2676,0,33770,0
2868.0,2689,0,33914,0
2880.0,2708,0,34057,0
2892.0,2720,0,34200,0
2904.0,2727,0,34343,0
2916.0,2740,0,34487,0
2928.0,2751,0,34631,0
2940.0,2757,0,34775,0
2952.0,2759,0,34919,0
2964.0,2762,0,35062,0
2976.0,2764,0,35206,0
2988.0,2771,0,35350,0
3000.0,2773,0,35495,0
3012.0,2780,0,35639,0
3024.0,2784,0,35782,0
3036.0,2789,0,35925,0
3048.0,2794,0,36067,0
3060.0,2801,0,36211,0
3072.0,2803,0,36355,0
3084.0,2807,0,36499,0
3096.0,2811,0,36643,0
3108.0,2815,0,36787,0
3120.0,2821,0,36931,0
3132.0,2826,0,37074,0
3144.0,2837,0,37219,0
3156.0,2849,0,37362,0
3168.0,2859,0,37506,0
3180.0,2870,0,37651,0
3192.0,2875,0,37795,0
3204.0,2879,0,37939,0
3216.0,2882,0,38083,0
3228.0,2887,0,38228,0
3240.0,2895,0,38371,0
3252.0,2901,0,38515,0
3264.0,2912,0,38659,0
3276.0,2916,0,38803,0
3288.0,2929,0,38947,0
3300.0,2933,0,39091,0
3312.0,2940,0,39234,0
3324.0,2946,0,39379,0
3336.0,2954,0,39523,0
3348.0,2962,0,39666,0
3360.0,2974,0,39810,0
3372.0,2984,0,39952,0
3384.0,2989,0,40096,0
3396.0,2992,0,40240,0
3408.0,2996,0,40383,0
3420.0,3007,0,40527,0
3432.0,3018,0,40671,0
3444.0,3023,0,40815,0
3456.0,3026,0,40958,0
3468.0,3033,0,41102,0
3480.0,3042,0,41246,0
3492.0,3049,0,41390,0
3504.0,3057,0,41534,0
3516.0,3064,0,41678,0
3528.0,3072,0,41822,0
3540.0,3080,0,41966,0
3552.0,3084,0,42110,0
3564.0,3084,0,42254,0
3576.0,3088,0,42398,0
3588.0,3095,0,42542,0
3600.0,3102,0,42686,0
3612.0,3104,0,42830,0
3624.0,3107,0,42974,0
3636.0,3117,0,43117,0
3648.0,3127,0,43260,0
3660.0,3132,0,43405,0
3672.0,3136,0,43549,0
3684.0,3140,0,43693,0
3696.0,3142,0,43837,0
3708.0,3159,0,43981,0
3720.0,3161,0,44125,0
3732.0,3175,0,44268,0
3744.0,3189,0,44412,0
3756.0,3193,0,44556,0
3768.0,3195,0,44699,0
3780.0,3198,0,44843,0
3792.0,3206,0,44987,0
3804.0,3214,0,45130,0
3816.0,3219,0,45274,0
3828.0,3225,0,45417,0
3840.0,3226,0,45561,0
3852.0,3243,0,45704,0
