time,coverage,# of tests
12.0,1,1
24.0,62,128
36.0,85,269
48.0,98,414
60.0,108,559
72.0,114,704
84.0,119,849
96.0,124,993
108.0,127,1138
120.0,148,1277
132.0,179,1418
144.0,207,1560
156.0,232,1702
168.0,260,1844
180.0,291,1987
192.0,313,2125
204.0,336,2257
216.0,361,2387
228.0,382,2524
240.0,403,2661
252.0,427,2805
264.0,450,2948
276.0,471,3087
288.0,497,3231
300.0,518,3374
312.0,543,3517
324.0,565,3659
336.0,581,3803
348.0,601,3946
360.0,620,4089
372.0,644,4232
384.0,661,4372
396.0,681,4513
408.0,702,4656
420.0,721,4800
432.0,736,4942
444.0,753,5083
456.0,768,5217
468.0,784,5356
480.0,803,5497
492.0,820,5641
504.0,833,5784
516.0,846,5923
528.0,864,6067
540.0,883,6211
552.0,900,6352
564.0,921,6487
576.0,936,6622
588.0,952,6763
600.0,970,6906
612.0,986,7050
624.0,1005,7191
636.0,1021,7333
648.0,1038,7475
660.0,1054,7618
672.0,1064,7756
684.0,1073,7900
696.0,1084,8043
708.0,1096,8186
720.0,1107,8330
732.0,1116,8472
744.0,1125,8615
756.0,1133,8758
768.0,1145,8901
780.0,1154,9044
792.0,1162,9188
804.0,1171,9330
816.0,1183,9472
828.0,1195,9615
840.0,1206,9758
852.0,1216,9902
864.0,1229,10046
876.0,1238,10190
888.0,1250,10332
900.0,1263,10476
912.0,1271,10619
924.0,1283,10763
936.0,1294,10907
948.0,1304,11049
960.0,1315,11193
972.0,1328,11336
984.0,1336,11479
996.0,1348,11623
1008.0,1363,11762
1020.0,1369,11899
1032.0,1377,12035
1044.0,1389,12170
1056.0,1396,12313
1068.0,1405,12456
1080.0,1411,12599
1092.0,1419,12743
1104.0,1427,12882
1116.0,1435,13019
1128.0,1450,13156
1140.0,1456,13299
1152.0,1464,13442
1164.0,1476,13582
1176.0,1486,13723
1188.0,1497,13867
1200.0,1511,14011
1212.0,1521,14153
1224.0,1527,14296
1236.0,1535,14438
1248.0,1546,14573
1260.0,1561,14714
1272.0,1570,14858
1284.0,1580,15001
1296.0,1589,15145
1308.0,1595,15289
1320.0,1601,15433
1332.0,1610,15576
1344.0,1618,15717
1356.0,1624,15855
1368.0,1630,15995
1380.0,1639,16136
1392.0,1646,16279
1404.0,1655,16423
1416.0,1662,16557
1428.0,1672,16695
1440.0,1677,16831
1452.0,1689,16969
1464.0,1697,17106
1476.0,1707,17250
1488.0,1716,17393
1500.0,1722,17535
1512.0,1733,17678
1524.0,1742,17821
1536.0,1750,17964
1548.0,1759,18104
1560.0,1769,18247
1572.0,1779,18391
1584.0,1790,18534
1596.0,1797,18678
1608.0,1804,18819
1620.0,1812,18962
1632.0,1821,19105
1644.0,1832,19248
1656.0,1843,19392
1668.0,1854,19535
1680.0,1860,19679
1692.0,1869,19822
1704.0,1878,19966
1716.0,1884,20109
1728.0,1893,20253
1740.0,1902,20397
1752.0,1909,20540
1764.0,1919,20683
1776.0,1928,20827
1788.0,1934,20971
1800.0,1943,21113
1812.0,1952,21256
1824.0,1959,21400
1836.0,1965,21544
1848.0,1971,21687
1860.0,1979,21824
1872.0,1988,21962
1884.0,2000,22106
1896.0,2007,22247
1908.0,2019,22390
1920.0,2027,22533
1932.0,2035,22677
1944.0,2043,22820
1956.0,2049,22964
1968.0,2058,23108
1980.0,2064,23252
1992.0,2072,23398
2004.0,2081,23542
2016.0,2091,23687
2028.0,2098,23832
2040.0,2108,23977
2052.0,2117,24121
2064.0,2126,24266
2076.0,2134,24411
2088.0,2142,24555
2100.0,2154,24700
2112.0,2169,24845
2124.0,2181,24990
2136.0,2186,25135
2148.0,2191,25278
2160.0,2198,25423
2172.0,2209,25568
2184.0,2218,25712
2196.0,2225,25857
2208.0,2230,26002
2220.0,2243,26146
2232.0,2249,26291
2244.0,2257,26437
2256.0,2264,26582
2268.0,2272,26727
2280.0,2277,26867
2292.0,2286,27012
2304.0,2292,27157
2316.0,2303,27303
2328.0,2309,27448
2340.0,2315,27593
2352.0,2321,27738
2364.0,2332,27883
2376.0,2340,28028
2388.0,2349,28173
2400.0,2355,28318
2412.0,2364,28463
2424.0,2374,28607
2436.0,2380,28752
2448.0,2390,28894
2460.0,2396,29030
2472.0,2406,29159
2484.0,2411,29290
2496.0,2418,29435
2508.0,2422,29579
2520.0,2429,29724
2532.0,2435,29868
2544.0,2442,30013
2556.0,2449,30157
2568.0,2454,30297
2580.0,2465,30439
2592.0,2475,30583
2604.0,2484,30728
2616.0,2489,30872
2628.0,2502,31016
2640.0,2509,31160
2652.0,2518,31305
2664.0,2523,31449
2676.0,2530,31594
2688.0,2537,31739
2700.0,2542,31883
2712.0,2554,32027
2724.0,2563,32171
2736.0,2570,32316
2748.0,2574,32455
2760.0,2582,32593
2772.0,2587,32730
2784.0,2594,32867
2796.0,2605,33005
2808.0,2612,33147
2820.0,2619,33290
2832.0,2625,33434
2844.0,2631,33578
2856.0,2637,33722
2868.0,2644,33866
2880.0,2653,34010
2892.0,2663,34154
2904.0,2672,34297
2916.0,2681,34439
2928.0,2690,34583
2940.0,2698,34728
2952.0,2707,34872
2964.0,2715,35016
2976.0,2722,35161
2988.0,2728,35306
3000.0,2730,35450
3012.0,2740,35595
3024.0,2745,35739
3036.0,2750,35884
3048.0,2757,36026
3060.0,2763,36171
3072.0,2768,36315
3084.0,2774,36460
3096.0,2780,36604
3108.0,2788,36748
3120.0,2796,36893
3132.0,2807,37037
3144.0,2813,37182
3156.0,2822,37326
3168.0,2830,37470
3180.0,2834,37615
3192.0,2837,37760
3204.0,2843,37904
3216.0,2849,38049
3228.0,2856,38194
3240.0,2864,38338
3252.0,2869,38483
3264.0,2877,38627
3276.0,2882,38772
3288.0,2888,38917
3300.0,2894,39061
3312.0,2900,39206
3324.0,2908,39350
3336.0,2914,39494
3348.0,2922,39638
3360.0,2931,39778
3372.0,2939,39915
3384.0,2947,40058
3396.0,2952,40200
3408.0,2957,40344
3420.0,2961,40488
3432.0,2969,40632
3444.0,2977,40777
3456.0,2984,40921
3468.0,2991,41066
3480.0,2998,41206
3492.0,3003,41350
3504.0,3009,41495
3516.0,3016,41640
3528.0,3022,41778
3540.0,3030,41920
3552.0,3036,42065
3564.0,3043,42210
3576.0,3053,42355
3588.0,3063,42499
3600.0,3075,42643
3612.0,3082,42788
3624.0,3086,42932
3636.0,3092,43077
3648.0,3098,43221
3660.0,3105,43365
3672.0,3112,43509
3684.0,3121,43654
3696.0,3126,43799
3708.0,3133,43944
3720.0,3138,44089
3732.0,3143,44233
3744.0,3153,44378
3756.0,3158,44522
3768.0,3164,44667
3780.0,3171,44812
3792.0,3180,44956
3804.0,3189,45101
3816.0,3195,45245
3828.0,3204,45390
3840.0,3211,45529
3852.0,3222,45674
3864.0,3231,45819
3876.0,3234,45963
3888.0,3244,46108
3900.0,3250,46252
3912.0,3258,46396
3924.0,3265,46538
3936.0,3270,46675
3948.0,3274,46818
3960.0,3281,46962
3972.0,3288,47107
3984.0,3294,47252
3996.0,3300,47397
4008.0,3307,47538
4020.0,3316,47673
4032.0,3326,47810
4044.0,3333,47952
4056.0,3337,48097
4068.0,3346,48241
4080.0,3354,48384
4092.0,3360,48527
4104.0,3367,48671
4116.0,3372,48816
4128.0,3378,48961
4140.0,3385,49105
4152.0,3390,49249
4164.0,3395,49394
4176.0,3401,49539
4188.0,3408,49683
4200.0,3414,49827
4212.0,3423,49971
4224.0,3432,50116
4236.0,3441,50261
4248.0,3445,50405
4260.0,3452,50550
4272.0,3460,50695
4284.0,3464,50840
4296.0,3474,50985
4308.0,3480,51129
4320.0,3483,51274
4332.0,3488,51419
4344.0,3496,51563
4356.0,3500,51708
4368.0,3507,51853
4380.0,3517,51996
4392.0,3526,52141
4404.0,3534,52286
4416.0,3538,52431
4428.0,3546,52576
4440.0,3550,52721
4452.0,3559,52866
4464.0,3565,53011
4476.0,3570,53156
4488.0,3578,53298
4500.0,3583,53443
4512.0,3595,53588
4524.0,3600,53733
4536.0,3602,53877
4548.0,3608,54022
4560.0,3616,54166
4572.0,3625,54311
4584.0,3627,54454
4596.0,3633,54598
4608.0,3641,54743
4620.0,3650,54888
4632.0,3656,55033
4644.0,3662,55176
4656.0,3668,55322
4668.0,3673,55467
4680.0,3681,55611
4692.0,3687,55756
4704.0,3692,55901
4716.0,3699,56045
4728.0,3707,56190
4740.0,3718,56335
4752.0,3726,56479
4764.0,3734,56625
4776.0,3741,56769
4788.0,3745,56915
4800.0,3750,57060
4812.0,3755,57204
4824.0,3760,57349
4836.0,3765,57494
4848.0,3771,57638
4860.0,3778,57783
4872.0,3787,57928
4884.0,3793,58073
4896.0,3798,58215
4908.0,3801,58360
4920.0,3808,58505
4932.0,3813,58650
4944.0,3823,58793
4956.0,3830,58938
4968.0,3839,59082
4980.0,3844,59227
4992.0,3853,59373
5004.0,3859,59518
5016.0,3865,59662
5028.0,3873,59807
5040.0,3877,59952
5052.0,3885,60097
5064.0,3893,60242
5076.0,3898,60387
5088.0,3901,60531
5100.0,3906,60677
5112.0,3910,60821
5124.0,3914,60967
5136.0,3924,61112
5148.0,3932,61256
5160.0,3938,61400
5172.0,3943,61545
5184.0,3949,61689
5196.0,3953,61828
5208.0,3959,61968
5220.0,3966,62113
5232.0,3973,62258
5244.0,3979,62403
5256.0,3983,62547
5268.0,3991,62692
5280.0,3995,62837
5292.0,4004,62982
5304.0,4012,63121
5316.0,4016,63265
5328.0,4021,63411
5340.0,4028,63556
5352.0,4035,63701
5364.0,4045,63846
5376.0,4051,63991
5388.0,4057,64136
5400.0,4066,64281
5412.0,4078,64426
5424.0,4089,64571
5436.0,4098,64712
5448.0,4106,64857
5460.0,4112,65002
5472.0,4119,65146
5484.0,4124,65291
5496.0,4135,65436
5508.0,4139,65582
5520.0,4147,65727
5532.0,4155,65872
5544.0,4161,66017
5556.0,4171,66161
5568.0,4179,66304
5580.0,4188,66449
5592.0,4195,66595
5604.0,4200,66740
5616.0,4208,66884
5628.0,4215,67030
5640.0,4225,67173
5652.0,4232,67319
5664.0,4243,67464
5676.0,4251,67609
5688.0,4257,67753
5700.0,4263,67895
5712.0,4275,68041
5724.0,4281,68186
5736.0,4287,68331
5748.0,4297,68476
5760.0,4304,68621
5772.0,4309,68766
5784.0,4317,68911
5796.0,4327,69056
5808.0,4331,69201
5820.0,4337,69345
5832.0,4346,69490
5844.0,4354,69635
5856.0,4361,69781
5868.0,4371,69925
5880.0,4375,70070
5892.0,4380,70215
5904.0,4384,70361
5916.0,4391,70506
5928.0,4398,70651
5940.0,4404,70797
5952.0,4411,70942
5964.0,4416,71087
5976.0,4420,71232
5988.0,4424,71377
6000.0,4428,71522
6012.0,4431,71668
6024.0,4435,71812
6036.0,4438,71957
6048.0,4442,72101
6060.0,4447,72246
6072.0,4454,72391
6084.0,4459,72536
6096.0,4462,72681
6108.0,4465,72826
6120.0,4467,72970
6132.0,4470,73108
6144.0,4477,73252
6156.0,4486,73396
6168.0,4497,73542
6180.0,4499,73687
6192.0,4503,73832
6204.0,4506,73978
6216.0,4512,74122
6228.0,4518,74267
6240.0,4523,74413
6252.0,4530,74557
6264.0,4540,74703
6276.0,4550,74848
6288.0,4558,74992
6300.0,4565,75133
6312.0,4572,75277
6324.0,4579,75422
6336.0,4585,75567
6348.0,4591,75711
6360.0,4596,75856
6372.0,4605,75999
6384.0,4610,76144
6396.0,4619,76289
6408.0,4626,76434
6420.0,4632,76579
6432.0,4638,76724
6444.0,4644,76868
6456.0,4653,77013
6468.0,4660,77157
6480.0,4669,77302
6492.0,4679,77447
6504.0,4688,77592
6516.0,4695,77736
6528.0,4704,77881
6540.0,4707,78027
6552.0,4711,78172
6564.0,4715,78317
6576.0,4721,78462
6588.0,4726,78607
6600.0,4733,78752
6612.0,4738,78897
6624.0,4745,79042
6636.0,4753,79186
6648.0,4761,79330
6660.0,4772,79475
6672.0,4783,79621
6684.0,4793,79765
6696.0,4800,79910
6708.0,4803,80055
6720.0,4810,80200
6732.0,4817,80345
6744.0,4824,80491
6756.0,4830,80636
6768.0,4834,80780
6780.0,4837,80925
6792.0,4843,81071
6804.0,4846,81216
6816.0,4850,81359
6828.0,4854,81504
6840.0,4860,81649
6852.0,4862,81794
6864.0,4867,81939
6876.0,4871,82084
6888.0,4877,82230
6900.0,4885,82371
6912.0,4891,82513
6924.0,4897,82658
6936.0,4900,82804
6948.0,4904,82948
6960.0,4906,83094
6972.0,4913,83239
6984.0,4918,83380
6996.0,4922,83519
7008.0,4927,83663
7020.0,4930,83808
7032.0,4934,83953
7044.0,4939,84098
7056.0,4945,84244
7068.0,4949,84388
7080.0,4954,84532
7092.0,4959,84678
7104.0,4966,84824
7116.0,4970,84969
7128.0,4977,85114
7140.0,4980,85259
7152.0,4991,85403
7164.0,4997,85549
7176.0,5005,85694
7188.0,5015,85838
7200.0,5022,85977
