time,coverage,bug,tests,unique bugs
12.0,1,0,1,0
24.0,51,0,109,0
36.0,76,0,233,0
48.0,94,0,378,0
60.0,106,0,524,0
72.0,118,0,669,0
84.0,124,0,815,0
96.0,129,0,960,0
108.0,131,0,1105,0
120.0,159,0,1248,0
132.0,206,0,1386,0
144.0,266,0,1528,0
156.0,300,0,1673,0
168.0,369,0,1817,0
180.0,421,0,1962,0
192.0,455,0,2102,0
204.0,488,0,2248,0
216.0,537,0,2392,0
228.0,599,0,2537,0
240.0,636,0,2682,0
252.0,691,0,2827,0
264.0,730,0,2971,0
276.0,772,0,3116,0
288.0,805,0,3260,0
300.0,827,0,3405,0
312.0,847,0,3549,0
324.0,884,0,3693,0
336.0,924,0,3838,0
348.0,961,0,3983,0
360.0,1039,0,4127,0
372.0,1073,0,4271,0
384.0,1094,0,4407,0
396.0,1115,0,4549,0
408.0,1138,0,4694,0
420.0,1155,0,4839,0
432.0,1180,0,4981,0
444.0,1196,0,5125,0
456.0,1212,0,5248,0
468.0,1230,0,5368,0
480.0,1258,0,5510,0
492.0,1280,0,5656,0
504.0,1310,0,5796,0
516.0,1334,0,5920,0
528.0,1369,0,6065,0
540.0,1398,0,6209,0
552.0,1422,0,6351,0
564.0,1437,0,6461,0
576.0,1455,0,6569,0
588.0,1476,0,6700,0
600.0,1503,0,6844,0
612.0,1538,0,6989,0
624.0,1595,0,7133,0
636.0,1611,0,7277,0
648.0,1634,0,7417,0
660.0,1694,0,7562,0
672.0,1733,0,7706,0
684.0,1773,0,7851,0
696.0,1819,0,7995,0
708.0,1839,0,8139,0
720.0,1858,0,8282,0
732.0,1904,0,8427,0
744.0,1944,0,8571,0
756.0,1985,0,8714,0
768.0,2011,0,8859,0
780.0,2027,0,9004,0
792.0,2042,0,9150,0
804.0,2054,0,9292,0
816.0,2084,0,9427,0
828.0,2096,0,9570,0
840.0,2108,0,9713,0
852.0,2118,0,9859,0
864.0,2131,0,10005,0
876.0,2148,0,10150,0
888.0,2163,0,10295,0
900.0,2192,0,10441,0
912.0,2204,0,10586,0
924.0,2213,0,10730,0
936.0,2232,0,10875,0
948.0,2245,0,11019,0
960.0,2261,0,11164,0
972.0,2283,0,11310,0
984.0,2299,0,11455,0
996.0,2306,0,11600,0
1008.0,2314,0,11724,0
1020.0,2324,0,11837,0
1032.0,2326,0,11944,0
1044.0,2329,0,12052,0
1056.0,2346,0,12191,0
1068.0,2355,0,12336,0
1080.0,2367,0,12480,0
1092.0,2379,0,12625,0
1104.0,2387,0,12770,0
1116.0,2390,0,12915,0
1128.0,2397,0,13060,0
1140.0,2407,0,13204,0
1152.0,2413,0,13350,0
1164.0,2421,0,13495,0
1176.0,2436,0,13640,0
1188.0,2451,0,13785,0
1200.0,2463,0,13930,0
1212.0,2476,0,14074,0
1224.0,2485,0,14219,0
1236.0,2496,0,14364,0
1248.0,2504,0,14509,0
1260.0,2508,0,14654,0
1272.0,2515,0,14800,0
1284.0,2528,0,14945,0
1296.0,2538,0,15090,0
1308.0,2551,0,15236,0
1320.0,2555,0,15381,0
1332.0,2571,0,15525,0
1344.0,2591,0,15667,0
1356.0,2609,0,15813,0
1368.0,2625,0,15959,0
1380.0,2633,0,16104,0
1392.0,2638,0,16249,0
1404.0,2648,0,16394,0
1416.0,2653,0,16514,0
1428.0,2672,0,16634,0
1440.0,2696,0,16740,0
1452.0,2711,0,16855,0
1464.0,2725,0,16970,0
1476.0,2752,0,17115,0
1488.0,2762,0,17260,0
1500.0,2773,0,17406,0
1512.0,2785,0,17551,0
1524.0,2792,0,17696,0
1536.0,2804,0,17840,0
1548.0,2813,0,17980,0
1560.0,2822,0,18124,0
1572.0,2835,0,18270,0
1584.0,2854,0,18414,0
1596.0,2879,0,18559,0
1608.0,2900,0,18700,0
1620.0,2912,0,18844,0
1632.0,2928,0,18988,0
1644.0,2940,0,19133,0
1656.0,2942,0,19277,0
1668.0,2951,0,19422,0
1680.0,2957,0,19567,0
1692.0,2962,0,19712,0
1704.0,2963,0,19857,0
1716.0,2975,0,20001,0
1728.0,2977,0,20145,0
1740.0,2980,0,20290,0
1752.0,2989,0,20435,0
1764.0,3000,0,20580,0
1776.0,3007,0,20723,0
1788.0,3017,0,20869,0
1800.0,3025,0,21010,0
1812.0,3030,0,21155,0
1824.0,3038,0,21300,0
1836.0,3045,0,21446,0
1848.0,3064,0,21590,0
1860.0,3081,0,21734,0
1872.0,3110,0,21878,0
1884.0,3129,0,22023,0
1896.0,3147,0,22169,0
1908.0,3174,0,22314,0
1920.0,3190,0,22459,0
1932.0,3200,0,22604,0
1944.0,3214,0,22749,0
1956.0,3231,0,22894,0
1968.0,3242,0,23039,0
1980.0,3253,0,23184,0
1992.0,3259,0,23329,0
2004.0,3267,0,23474,0
2016.0,3277,0,23619,0
2028.0,3304,0,23764,0
2040.0,3327,0,23909,0
2052.0,3346,0,24053,0
2064.0,3361,0,24198,0
2076.0,3374,0,24343,0
2088.0,3380,0,24486,0
2100.0,3383,0,24632,0
2112.0,3388,0,24777,0
2124.0,3395,0,24922,0
2136.0,3415,0,25067,0
2148.0,3419,0,25211,0
2160.0,3427,0,25356,0
2172.0,3434,0,25502,0
2184.0,3450,0,25647,0
2196.0,3460,0,25792,0
2208.0,3467,0,25937,0
2220.0,3470,0,26081,0
2232.0,3474,0,26226,0
2244.0,3477,0,26371,0
2256.0,3484,0,26517,0
2268.0,3496,0,26662,0
2280.0,3505,0,26807,0
2292.0,3507,0,26952,0
2304.0,3513,0,27097,0
2316.0,3515,0,27241,0
2328.0,3518,0,27386,0
2340.0,3520,0,27531,0
