time,coverage,# of tests
12.0,1,1
24.0,59,125
36.0,78,266
48.0,92,411
60.0,105,556
72.0,114,701
84.0,120,847
96.0,125,991
108.0,128,1135
120.0,156,1276
132.0,198,1415
144.0,248,1557
156.0,292,1699
168.0,349,1842
180.0,402,1984
192.0,450,2123
204.0,493,2255
216.0,543,2385
228.0,595,2522
240.0,642,2658
252.0,690,2802
264.0,733,2945
276.0,776,3084
288.0,816,3228
300.0,850,3371
312.0,887,3514
324.0,925,3656
336.0,972,3800
348.0,1013,3943
360.0,1054,4086
372.0,1083,4229
384.0,1117,4370
396.0,1148,4510
408.0,1179,4653
420.0,1210,4796
432.0,1242,4939
444.0,1267,5081
456.0,1290,5214
468.0,1315,5352
480.0,1337,5494
492.0,1364,5638
504.0,1393,5781
516.0,1416,5920
528.0,1443,6064
540.0,1465,6208
552.0,1485,6350
564.0,1497,6483
576.0,1517,6619
588.0,1542,6759
600.0,1564,6902
612.0,1584,7046
624.0,1614,7188
636.0,1632,7329
648.0,1652,7471
660.0,1685,7615
672.0,1712,7753
684.0,1732,7896
696.0,1755,8039
708.0,1775,8183
720.0,1790,8326
732.0,1815,8468
744.0,1838,8612
756.0,1860,8754
768.0,1881,8897
780.0,1900,9041
792.0,1919,9184
804.0,1939,9327
816.0,1956,9469
828.0,1974,9612
840.0,1991,9755
852.0,2008,9899
864.0,2028,10043
876.0,2045,10186
888.0,2063,10329
900.0,2080,10473
912.0,2096,10616
924.0,2116,10759
936.0,2133,10903
948.0,2145,11046
960.0,2160,11189
972.0,2175,11333
984.0,2191,11476
996.0,2202,11619
1008.0,2213,11759
1020.0,2224,11896
1032.0,2235,12032
1044.0,2248,12168
1056.0,2262,12309
1068.0,2276,12452
1080.0,2295,12596
1092.0,2313,12739
1104.0,2326,12878
1116.0,2337,13016
1128.0,2347,13153
1140.0,2360,13295
1152.0,2372,13439
1164.0,2381,13578
1176.0,2392,13719
1188.0,2400,13864
1200.0,2415,14007
1212.0,2428,14149
1224.0,2444,14292
1236.0,2458,14435
1248.0,2469,14570
1260.0,2478,14710
1272.0,2487,14854
1284.0,2505,14997
1296.0,2518,15141
1308.0,2533,15285
1320.0,2543,15429
1332.0,2557,15572
1344.0,2570,15713
1356.0,2583,15852
1368.0,2598,15991
1380.0,2611,16132
1392.0,2619,16275
1404.0,2627,16419
1416.0,2635,16553
1428.0,2648,16692
1440.0,2661,16827
1452.0,2670,16965
1464.0,2684,17102
1476.0,2695,17246
1488.0,2703,17389
1500.0,2711,17531
1512.0,2720,17674
1524.0,2729,17816
1536.0,2739,17960
1548.0,2750,18100
1560.0,2764,18243
1572.0,2775,18387
1584.0,2790,18530
1596.0,2804,18674
1608.0,2817,18815
1620.0,2829,18958
1632.0,2838,19101
1644.0,2850,19244
1656.0,2856,19387
1668.0,2869,19531
1680.0,2880,19675
1692.0,2892,19818
1704.0,2904,19962
1716.0,2920,20105
1728.0,2930,20249
1740.0,2941,20393
1752.0,2954,20536
1764.0,2969,20679
1776.0,2980,20823
1788.0,2991,20966
1800.0,3000,21109
1812.0,3014,21252
1824.0,3026,21396
1836.0,3037,21540
1848.0,3048,21682
1860.0,3063,21820
1872.0,3080,21958
1884.0,3095,22102
1896.0,3107,22243
1908.0,3116,22385
1920.0,3123,22529
1932.0,3131,22672
1944.0,3140,22816
1956.0,3149,22960
1968.0,3162,23104
1980.0,3175,23248
1992.0,3183,23393
2004.0,3189,23538
2016.0,3200,23683
2028.0,3215,23828
2040.0,3227,23972
2052.0,3237,24117
2064.0,3250,24262
2076.0,3263,24406
2088.0,3276,24551
2100.0,3286,24696
2112.0,3298,24840
2124.0,3308,24986
2136.0,3323,25130
2148.0,3333,25274
2160.0,3342,25419
2172.0,3356,25563
2184.0,3369,25708
2196.0,3381,25853
2208.0,3389,25998
2220.0,3393,26142
2232.0,3403,26287
2244.0,3412,26432
2256.0,3421,26577
2268.0,3431,26722
2280.0,3438,26864
2292.0,3443,27008
2304.0,3448,27153
2316.0,3451,27298
2328.0,3456,27443
2340.0,3462,27588
2352.0,3467,27734
2364.0,3472,27879
2376.0,3478,28024
2388.0,3486,28168
2400.0,3495,28313
2412.0,3501,28458
2424.0,3511,28603
2436.0,3519,28748
2448.0,3530,28890
2460.0,3542,29027
2472.0,3561,29156
2484.0,3579,29287
2496.0,3593,29430
2508.0,3600,29575
2520.0,3606,29719
2532.0,3611,29864
2544.0,3615,30008
2556.0,3621,30153
2568.0,3629,30293
2580.0,3639,30435
2592.0,3650,30579
2604.0,3657,30723
2616.0,3663,30867
2628.0,3666,31012
2640.0,3671,31156
2652.0,3678,31300
2664.0,3684,31445
2676.0,3691,31589
2688.0,3707,31734
2700.0,3716,31878
2712.0,3725,32023
2724.0,3735,32166
2736.0,3746,32311
2748.0,3759,32451
2760.0,3769,32589
2772.0,3781,32726
2784.0,3795,32863
2796.0,3806,33000
2808.0,3817,33142
2820.0,3825,33285
2832.0,3833,33429
2844.0,3840,33573
2856.0,3849,33717
2868.0,3855,33861
2880.0,3862,34005
2892.0,3869,34149
2904.0,3877,34292
2916.0,3886,34434
2928.0,3891,34578
2940.0,3900,34723
2952.0,3909,34867
2964.0,3916,35011
2976.0,3921,35156
2988.0,3926,35301
3000.0,3933,35445
3012.0,3940,35590
3024.0,3950,35734
3036.0,3957,35878
3048.0,3968,36022
3060.0,3980,36166
3072.0,3984,36310
3084.0,3991,36455
3096.0,4003,36599
3108.0,4008,36743
3120.0,4014,36888
3132.0,4021,37033
3144.0,4028,37177
3156.0,4033,37321
3168.0,4037,37466
3180.0,4043,37610
3192.0,4050,37755
3204.0,4056,37899
3216.0,4062,38044
3228.0,4070,38189
3240.0,4076,38333
3252.0,4087,38478
3264.0,4098,38623
3276.0,4108,38767
3288.0,4116,38912
3300.0,4122,39056
3312.0,4130,39201
3324.0,4137,39345
3336.0,4146,39489
3348.0,4153,39634
3360.0,4161,39773
3372.0,4172,39911
3384.0,4180,40053
3396.0,4185,40194
3408.0,4194,40339
3420.0,4198,40484
3432.0,4204,40627
3444.0,4212,40772
3456.0,4217,40916
3468.0,4227,41061
3480.0,4232,41201
3492.0,4243,41345
3504.0,4249,41490
3516.0,4256,41635
3528.0,4262,41774
3540.0,4267,41915
3552.0,4277,42060
3564.0,4287,42205
3576.0,4294,42349
3588.0,4306,42494
3600.0,4315,42638
3612.0,4327,42783
3624.0,4334,42927
3636.0,4339,43072
3648.0,4343,43216
3660.0,4347,43360
3672.0,4352,43504
3684.0,4357,43649
3696.0,4360,43794
3708.0,4363,43939
3720.0,4366,44084
3732.0,4370,44228
3744.0,4376,44373
3756.0,4387,44517
3768.0,4402,44661
3780.0,4416,44806
3792.0,4426,44951
3804.0,4432,45096
3816.0,4439,45240
3828.0,4449,45385
3840.0,4458,45525
3852.0,4466,45669
3864.0,4471,45813
3876.0,4480,45958
3888.0,4488,46102
3900.0,4495,46247
3912.0,4500,46391
3924.0,4507,46533
3936.0,4517,46671
3948.0,4526,46813
3960.0,4536,46957
3972.0,4544,47102
3984.0,4550,47247
3996.0,4557,47391
4008.0,4562,47533
4020.0,4566,47668
4032.0,4572,47805
4044.0,4579,47946
4056.0,4586,48091
4068.0,4591,48235
