time,coverage,bug
1.0,1,4
2.0,4,40
3.0,9,80
4.0,11,120
5.0,13,160
6.0,16,200
7.0,20,238
8.0,24,278
9.0,27,318
10.0,32,358
11.0,35,398
12.0,40,438
13.0,46,478
14.0,47,518
15.0,50,557
16.0,52,596
17.0,56,636
18.0,60,676
19.0,64,715
20.0,66,753
21.0,70,793
22.0,74,833
23.0,77,872
24.0,80,911
25.0,85,950
26.0,87,989
27.0,90,1028
28.0,94,1068
29.0,97,1108
30.0,100,1148
31.0,102,1187
32.0,105,1226
33.0,108,1266
34.0,110,1306
35.0,112,1346
36.0,114,1385
37.0,118,1423
38.0,122,1462
39.0,124,1502
40.0,127,1540
41.0,128,1580
42.0,132,1619
43.0,136,1659
44.0,138,1697
45.0,141,1737
46.0,144,1777
47.0,146,1816
48.0,148,1856
49.0,151,1896
50.0,152,1933
51.0,153,1972
52.0,155,2012
53.0,158,2052
54.0,160,2092
55.0,160,2131
56.0,163,2171
57.0,165,2209
58.0,168,2249
59.0,173,2288
60.0,176,2328
61.0,177,2367
62.0,180,2407
63.0,183,2447
64.0,186,2486
65.0,188,2526
66.0,191,2566
67.0,192,2605
68.0,194,2645
69.0,195,2685
70.0,197,2724
71.0,198,2763
72.0,200,2802
73.0,202,2842
74.0,204,2881
75.0,206,2921
76.0,207,2960
77.0,209,2999
78.0,212,3038
79.0,215,3078
80.0,217,3118
81.0,218,3158
82.0,220,3198
83.0,225,3236
84.0,228,3276
85.0,230,3316
86.0,233,3355
87.0,235,3394
88.0,239,3434
89.0,240,3473
90.0,242,3512
91.0,244,3552
92.0,246,3592
93.0,250,3632
94.0,252,3672
95.0,255,3711
96.0,258,3750
97.0,259,3790
98.0,263,3829
99.0,265,3868
100.0,267,3908
